Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00394
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00342
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00308
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00307
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00286
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00266
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00275
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00277
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF14,T,2025-03-21T00:00:00,2023,,0.00272
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.0348
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.04331
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.0445
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03905
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.02501
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.02124
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.01918
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.06344
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.01669
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03263
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.05173
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03001
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.05605
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.06247
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.01088
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.04003
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03146
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03708
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03191
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.03153
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.02724
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.02767
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.02859
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-03-21T00:00:00,2023,,0.02877
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.00777
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01032
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01439
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.00949
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01284
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.00832
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01027
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01176
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01059
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.01457
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.0147
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.00578
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.00346
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.03126
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.0
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.03341
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.03153
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.02846
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.02356
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.02322
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.02285
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.02337
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.02396
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF21,T,2025-03-21T00:00:00,2023,,0.024
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.02704
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.03299
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.0301
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.02956
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.01217
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.01293
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00891
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.05168
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.0061
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.01805
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.03702
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.02423
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.05259
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.03121
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.01088
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00662
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,-7e-05
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00863
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00835
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.0083
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00439
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00429
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00462
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF22,T,2025-03-21T00:00:00,2023,,0.00476
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.31937
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.25503
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.33755
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.25276
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.29734
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.4071
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.44268
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.51311
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.51023
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.62951
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.72524
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.57175
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.8069
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.94629
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.95527
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.1947
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.0422
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,0.88318
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.09944
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.09616
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.06631
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.1082
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.12538
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-03-21T00:00:00,2023,,1.11418
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.08162
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.0639
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04857
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04863
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.06185
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.05298
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04902
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04601
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.0492
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04375
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04114
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.04846
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.03003
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.02072
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01025
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01063
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01025
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.00946
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01387
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01201
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01581
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01582
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01545
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-03-21T00:00:00,2023,,0.01473
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00214
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00208
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00302
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00272
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.0031
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00349
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00452
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00397
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00396
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00342
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00568
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00898
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00784
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00846
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01025
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01063
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01025
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.00946
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01387
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01201
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01581
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01582
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01545
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF41,T,2025-03-21T00:00:00,2023,,0.01473
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.07948
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.06182
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.04555
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0459
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.05875
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.04949
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0445
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.04204
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.04524
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.04033
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.03545
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.03947
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.02218
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.01226
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF421,T,2025-03-21T00:00:00,2023,,0.0
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,3.35689
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,3.35275
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.52535
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.44142
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.45334
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.59015
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.50316
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.94925
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.94369
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.8294
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.843
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.57218
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.71332
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.75418
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.56885
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.8107
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.62493
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.39104
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.51026
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.53526
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.72323
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.4379
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.36726
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,2.22859
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,MF_AGG3A,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,1.15257
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,MF_AGG3A,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,1.07847
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,MF_AGG3A,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,0.28681
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,MF_AGG3A,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,0.22119
