Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2011,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2012,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2013,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2014,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2015,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2016,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2017,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2018,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2019,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2020,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2021,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2022,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2023,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
2024,A,0,40.73694,40.73694,"BirdLife International, IUCN and UNEP-WCMC (2025). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",ER_MRN_MPA,404,PT,2025-05-30T00:00:00,2024,40.73694
