Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2015,0.4
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2019,0.5
2019,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2019,5.0
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2015,0.8
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2015,1.3
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2015,17.1
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,None,Y25T74,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2015,0.6
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2015,5.6
2019,A,0,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2019,2.5
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2015,0.4
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2015,0.5
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2015,10.2
2019,A,0,Target population is 15 years and above (3 and above for other indicators),KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,R,SKILL_GSPUR,PT,2025-03-14T00:00:00,2019,0.8
2019,A,0,Target population is 15 years and above (3 and above for other indicators),KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,None,U,SKILL_GSPUR,PT,2025-03-14T00:00:00,2019,6.2
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y_GE75,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2015,0.1
2019,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y_GE75,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2019,0.2
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y_GE75,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2015,0.1
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y_GE75,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2015,0.1
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y0T14,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2015,0.2
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y0T14,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2015,0.0
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y0T14,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2015,0.7
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y0T14,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2015,0.1
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y15T24,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2015,10.8
2015,A,0,,KENYA NATIONAL BUREAU OF STATISTICS,SE_ADT_ACTS,404,F,Y15T24,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2015,0.4
