Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,10.0
2001,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,10.0
2002,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,10.0
2003,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,10.0
2004,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,10.0
2005,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,10.0
2006,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2007,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2008,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2009,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2010,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2011,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2012,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2013,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2014,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2015,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2016,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2017,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2018,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2019,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2020,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2021,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,27.0
2022,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,32.0
2023,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,32.0
2024,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,32.0
2025,E,0,Ministry of Livestock Development,ER_NOEX_LBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,32.0
2000,E,0,Ministry of Agriculture and Livestock,ER_NOEX_TRBBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,6.0
2001,E,0,Ministry of Agriculture and Livestock,ER_NOEX_TRBBREDN,404,NUMBER,2025-09-18T00:00:00,2025,,6.0
