Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.95291
2006,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.55367
2007,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.31703
2008,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.14789
2009,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.50113
2010,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.60722
2011,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.89851
2012,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,9.23897
2013,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,9.70633
2014,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,10.01735
2015,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,10.79572
2016,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,11.37926
2017,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,11.81486
2018,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,11.97613
2019,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,12.2283
2020,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,12.32351
2021,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,12.94709
2022,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,13.94087
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,3068.04787
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,3092.87254
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,4610.13247
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,6121.25919
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7616.20243
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7567.41571
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7539.68644
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7523.24999
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7511.50261
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7536.0373
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7543.40545
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7563.63763
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7587.28451
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7619.74518
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7641.34758
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7695.40987
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7735.94012
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7766.19494
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7777.39623
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7794.91049
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7801.52392
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7844.83513
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,7913.85902
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.52864
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.53291
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.79434
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.05472
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.3123
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.3039
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.29912
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.29629
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.29426
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.29849
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.29976
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.30324
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.30732
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.31291
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.31663
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.32595
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.33293
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.33815
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.34008
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.34309
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.34423
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.3517
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,1.36359
2005,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,4.97441
2006,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,5.2736
2007,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,-0.29612
2008,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,3.08273
2009,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,-0.1393
2010,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,3.59107
2011,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,8.20715
2012,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,15.18005
2013,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,14.8932
2014,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,21.25788
2015,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,20.201
2016,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,24.48569
2017,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,29.53447
2018,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,34.3271
2019,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,37.81812
2020,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,42.03445
2021,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,48.89287
2022,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,404,None,PT,2024-05-08T00:00:00,2017-2021,52.72385
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,122.04647
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,155.09576
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,268.8041
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,376.62782
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,490.6637
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,534.39847
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,535.92157
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,507.56755
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,524.76843
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,508.36585
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,527.35627
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,550.85558
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,586.35286
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,584.89257
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,617.29355
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,611.91326
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,633.72552
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,659.42759
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,683.82568
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,701.59763
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,723.06187
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,757.97637
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,404,None,KM2,2023-03-30T00:00:00,2017-2021,777.47896
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.02103
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.02672
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.04632
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.06489
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.08454
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.09208
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.09234
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.08746
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.09042
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.08759
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.09087
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.09491
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.10103
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.10078
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.10636
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.10544
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.10919
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.11362
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,404,None,PT,2025-03-21T00:00:00,2017-2021,0.11783
